freq_index,length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
0,0.019188307114501497,0.003189048845673082,0.0003390897538012533,0.005154082801804614,0.0006980218864347211,0.0006831578669411626,0.00014481135639385205,0.00018265509783332027,0.003759512927994799,0.008998266203486505,0.0011231124364024965
1,0.019376475123030628,0.0032784900261988094,0.00033225475425892206,0.00513754888850065,0.0006979770254139877,0.0007029980309863589,0.00014755803980489275,0.00017018984558422174,0.0037993770185394665,0.009015065075746223,0.0011183595034613537
2,0.019822316679788465,0.0034083580199758805,0.00034707202691936965,0.005237550803677953,0.0007192788932898744,0.0007178013986764263,0.00014665812272485809,0.00017631299497179723,0.0038291401975783543,0.009221935301870848,0.0011540894113962923
3,0.020574666670898894,0.003582880568148485,0.00036377195658078836,0.005395219026513361,0.0007497700144402424,0.0007283618089868061,0.00014604544915740764,0.0001785502588348602,0.003937100444860126,0.009583253617310406,0.001201630954570438
4,0.020600249221668906,0.0036213642996342026,0.0003680990758671689,0.005461925816773182,0.0007509425634620202,0.0007238015069149027,0.00014086884089666813,0.00017730828226353992,0.003928158043035821,0.009587811593392595,0.0012010645807085938
5,0.02044621955102949,0.003626398519793553,0.00036332976369567177,0.005485220631556724,0.0007421083803941954,0.0007217833447960479,0.00013917034482629738,0.00017599712834874196,0.0038592042911112013,0.009469354627144277,0.00118405507200986
6,0.0205236219648105,0.0036355208105115747,0.00036757022828160234,0.005530625581741333,0.0007352590079034739,0.0007098116240098109,0.00013684298824611588,0.00017688326787815165,0.003871572329037225,0.009422294980850978,0.0011710427998013757
7,0.020365765735284605,0.0036434223180386556,0.00036362914451912266,0.005522191524505615,0.0007242790761575177,0.0007034676492362473,0.00013223333302792625,0.00017602889525208308,0.003808455532463036,0.009359354255211293,0.0011511760305112867
8,0.019948666368550923,0.0034980193818386516,0.00035912013005706206,0.005469621413975806,0.000695410541337521,0.000690246464230528,0.00012605850450435088,0.00017424622337468227,0.003706869349550845,0.009158012137484194,0.0011087974616840704
9,0.019860794591666453,0.003482543006168669,0.00035837637862904157,0.005455774899145857,0.0006863504407269445,0.0006895989680023336,0.00012329102155581042,0.00017698733738405787,0.003632022447847015,0.009096249122524736,0.0010976597703807982
10,0.019600517121120473,0.003538912505059693,0.00035453779595111734,0.005398860173438912,0.0006752465643099885,0.0006892376241102741,0.00011940946598625301,0.00017720073999012289,0.003608936026914796,0.009027623418551772,0.001074626393134321
11,0.019761234373595584,0.0036153219529052277,0.000359273362737983,0.005398056400356008,0.0006746708864892894,0.0007004046173238042,0.00011564250016093847,0.00018133857607174276,0.0035899818981464824,0.009121052364804852,0.001077146820761078
12,0.01978466937791056,0.0036973079564559517,0.00036905006278510117,0.005447306665615063,0.0006790477319143305,0.0007139949582109404,0.00011659772899835857,0.00018305160957782422,0.0035882019878026856,0.009173168323526335,0.0010762486736572796
13,0.02007943925572865,0.003722758657896697,0.00037855997829888,0.005510066575671903,0.0006913657100936074,0.0007254274941943771,0.00011465942663191563,0.0001892380495161856,0.003575714221641199,0.009298798160173406,0.001091458755939161
14,0.02037567582296495,0.0037334653646198673,0.00038646865839981915,0.005605599995869309,0.0006969352322283075,0.0007322196806989499,0.00011553625756902481,0.0001943398461635433,0.003615626500020573,0.00938194990158081,0.0010995448784745154
15,0.021105131106590156,0.003847106030924403,0.0003979532789457497,0.005703574908313466,0.0007161516325539024,0.0007341932412700273,0.00011484161371467125,0.00020246759094112547,0.003639506389252582,0.009785945735760589,0.001134839279586403
16,0.021953970638673697,0.0041138067915664975,0.00041321168343226117,0.005744524559571375,0.0007440583567269405,0.0007311722069089093,0.00011685327510928633,0.00020221632381725075,0.0036994034971170758,0.010335603608420832,0.001202117188356409
17,0.02213996411556035,0.00423354607316392,0.0004200592766798551,0.005753835042317708,0.0007538113242654658,0.0007351280389288764,0.00011388508056230213,0.0002010811574349356,0.0036565149156608393,0.01050343368183914,0.0012203928694796207
18,0.022341041719142477,0.00432166575792417,0.0004236912864505948,0.005704316482022034,0.0007556812346574678,0.0007173349404364676,0.00011234480739381182,0.00019594946347955446,0.0036585755757431488,0.010698596488184003,0.0012484928454036144
19,0.022339234601205855,0.004514070811556347,0.0004305288992562697,0.005767756656034669,0.0007639745185476038,0.0007262660829878565,0.00011418588848701164,0.0001954332513002614,0.0036994069073330704,0.010791574841115013,0.001254436499740354
20,0.021711931003266897,0.004459163776381099,0.00042778718753240595,0.005741209903759743,0.0007472988866751467,0.0007287449578740703,0.0001122432677492277,0.00019154070288091157,0.003657000797304941,0.010551415865694112,0.0012196073151049922
21,0.021323217977931845,0.004467463537828246,0.0004321956515905276,0.0057779620980741965,0.0007458586356977918,0.0007295799233130555,0.00011092401457144253,0.00019206872107970774,0.0036889307237976225,0.010445948708709792,0.0012053807835970352
22,0.020824629275952997,0.004413543241237526,0.00043195747395059954,0.005837620639089328,0.0007406073942113279,0.0007510453518202056,0.00011140156064682932,0.0001911874211842741,0.0036666090067346297,0.010161796167715271,0.0011782389486310494
23,0.02043518765055718,0.004393677917582479,0.0004235549148783755,0.005885073498113832,0.0007369049931343515,0.0007821136149600964,0.00011323235317397473,0.00019052785946362054,0.0035736066340213983,0.00998417951574373,0.001155178122852572
24,0.02061913499784707,0.004408455161906,0.00041997443829009783,0.0058079297418025,0.0007356220847042046,0.0007884187707260474,0.00010690434988754899,0.0001909322341653838,0.003571819903245613,0.010051229551656922,0.0011582409045589504
25,0.02022963940207638,0.004289798438549042,0.00041656429643061624,0.005725431501568847,0.0007240853610619976,0.0007620807366436394,0.0001092597944152296,0.00019046620220242448,0.0035653043890473855,0.009833464575051075,0.001134761419165787
