length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
2.076,2.377,0.036,0.645,0.086,0.046,0.015,0.088,0.299,2.747,2.906
2.788,4.423,0.038,0.688,0.066,0.048,0.001,0.07,0.309,4.118,4.403
3.795,2.607,0.015,0.653,0.064,0.034,0.013,0.032,0.246,2.442,2.784
3.052,1.85,0.024,0.429,0.078,0.048,0.01,0.075,0.052,3.429,2.632
5.039,3.624,0.012,0.395,0.099,0.043,0.005,0.04,0.347,2.628,4.171
1.917,5.106,0.039,0.17,0.069,0.02,0.004,0.03,0.183,3.902,2.252
3.357,2.113,0.022,0.619,0.042,0.04,0.012,0.051,0.36,2.09,2.536
3.112,4.212,0.037,0.113,0.051,0.043,0.004,0.09,0.101,3.046,2.743
2.34,3.961,0.013,0.221,0.035,0.042,0.014,0.041,0.19,4.844,3.924
3.868,3.698,0.017,0.552,0.095,0.049,0.021,0.098,0.172,4.569,3.723
3.616,4.016,0.01,0.705,0.025,0.039,0.013,0.092,0.222,3.266,3.058
2.919,5.006,0.037,0.37,0.07,0.019,0.0,0.095,0.153,3.746,4.102
2.015,2.524,0.025,0.131,0.039,0.02,0.012,0.061,0.136,3.502,4.026
3.94,4.939,0.017,0.412,0.027,0.044,0.022,0.027,0.195,4.414,4.557
1.951,3.359,0.032,0.356,0.083,0.033,0.015,0.066,0.067,2.335,3.421
4.087,3.141,0.034,0.229,0.02,0.017,0.006,0.045,0.253,3.675,3.102
3.295,3.454,0.027,0.541,0.046,0.05,0.005,0.038,0.083,4.202,3.836
4.375,2.885,0.034,0.51,0.073,0.016,0.024,0.043,0.161,4.485,3.747
3.667,4.814,0.04,0.734,0.097,0.047,0.017,0.078,0.203,4.958,2.196
3.707,2.745,0.018,0.32,0.039,0.026,0.001,0.049,0.332,3.482,3.472
4.194,4.291,0.011,0.779,0.062,0.031,0.003,0.081,0.127,3.828,2.004
3.505,2.803,0.03,0.25,0.03,0.037,0.002,0.068,0.419,4.685,3.624
4.497,2.342,0.018,0.523,0.053,0.025,0.01,0.071,0.437,2.027,3.172
2.623,4.926,0.026,0.752,0.081,0.046,0.006,0.064,0.112,4.38,2.434
3.994,4.117,0.031,0.766,0.085,0.032,0.014,0.033,0.236,4.887,2.146
2.355,4.634,0.028,0.495,0.057,0.028,0.016,0.029,0.29,2.28,4.088
4.254,2.24,0.029,0.199,0.024,0.042,0.024,0.082,0.058,4.794,4.778
4.523,3.076,0.011,0.191,0.028,0.045,0.021,0.076,0.23,3.234,3.556
2.179,1.937,0.022,0.719,0.054,0.025,0.008,0.056,0.366,3.689,4.739
4.403,3.209,0.038,0.664,0.022,0.039,0.023,0.097,0.391,3.333,2.69
5.194,3.794,0.035,0.308,0.092,0.035,0.017,0.054,0.408,3.01,3.894
4.967,3.262,0.014,0.463,0.09,0.036,0.009,0.035,0.117,2.835,4.361
4.898,4.758,0.026,0.124,0.091,0.021,0.007,0.057,0.372,2.546,4.878
2.82,2.448,0.032,0.477,0.056,0.03,0.018,0.099,0.415,2.226,2.382
4.713,2.962,0.031,0.492,0.043,0.016,0.008,0.05,0.398,2.684,4.61
2.476,4.349,0.033,0.603,0.079,0.018,0.025,0.061,0.379,3.089,2.075
3.174,3.889,0.023,0.58,0.034,0.033,0.019,0.074,0.317,4.038,2.997
4.838,4.564,0.018,0.437,0.05,0.022,0.011,0.084,0.322,4.091,4.497
1.845,4.064,0.02,0.155,0.077,0.031,0.007,0.052,0.429,4.222,4.676
2.222,3.415,0.023,0.255,0.095,0.026,0.02,0.094,0.163,2.393,3.257
3.416,3.732,0.019,0.388,0.088,0.022,0.009,0.026,0.261,2.869,4.948
4.761,2.64,0.013,0.161,0.031,0.041,0.003,0.085,0.095,4.76,3.592
2.706,4.506,0.015,0.683,0.059,0.027,0.023,0.072,0.141,3.174,2.33
4.649,3.5,0.025,0.341,0.045,0.018,0.02,0.047,0.215,4.635,2.862
5.09,5.178,0.02,0.325,0.074,0.024,0.019,0.042,0.272,3.601,4.223
4.17,2.147,0.021,0.797,0.075,0.038,0.016,0.089,0.08,2.953,4.332
2.581,2.045,0.03,0.573,0.048,0.023,0.011,0.036,0.281,4.315,3.264
2.542,4.697,0.027,0.285,0.037,0.03,0.018,0.058,0.444,3.967,4.881
2.978,2.93,0.036,0.275,0.061,0.037,0.002,0.064,0.293,2.513,2.55
3.442,1.934,0.016,0.607,0.067,0.028,0.022,0.08,0.339,2.148,3.345
