length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
2.882,2.434,0.037,0.589,0.025,0.015,0.017,0.034,0.32,3.21,3.53
5.03,4.204,0.016,0.634,0.075,0.024,0.019,0.08,0.4,3.95,4.98
2.366,3.22,0.014,0.192,0.048,0.033,0.015,0.098,0.16,2.24,3.78
3.037,2.051,0.038,0.783,0.096,0.045,0.007,0.03,0.3,2.81,4.05
2.243,2.499,0.013,0.148,0.044,0.021,0.023,0.039,0.33,2.44,4.5
4.664,4.613,0.039,0.757,0.084,0.049,0.006,0.092,0.38,4.2,2.2
3.636,2.83,0.021,0.236,0.033,0.022,0.021,0.025,0.44,2.99,4.16
5.031,3.679,0.033,0.668,0.09,0.018,0.024,0.076,0.08,3.99,4.71
3.31,5.076,0.016,0.451,0.032,0.029,0.003,0.093,0.23,4.85,3.37
4.72,4.098,0.019,0.352,0.068,0.029,0.014,0.061,0.23,3.79,2.04
2.716,3.155,0.019,0.519,0.065,0.044,0.011,0.055,0.13,2.14,2.85
4.447,4.696,0.03,0.301,0.079,0.034,0.008,0.066,0.06,2.66,4.32
3.702,4.935,0.026,0.541,0.037,0.04,0.01,0.042,0.1,3.56,3.07
3.985,3.941,0.034,0.133,0.093,0.039,0.018,0.085,0.2,2.59,3.25
2.093,2.191,0.031,0.726,0.053,0.032,0.005,0.057,0.18,4.4,3.83
1.917,1.924,0.01,0.244,0.086,0.02,0.021,0.069,0.27,4.27,2.63
4.236,2.657,0.024,0.319,0.021,0.027,0.01,0.086,0.36,4.68,2.54
4.025,4.425,0.027,0.408,0.058,0.037,0.014,0.07,0.42,4.85,2.33
2.484,3.4,0.029,0.443,0.045,0.043,0.001,0.045,0.27,3.19,2.98
3.374,3.64,0.023,0.623,0.061,0.048,0.002,0.048,0.12,3.36,4.58
